start_time,close,datetime,high,low,open,volume
1717225200000,67620.4,2024-06-01 07:00:00,67737.6,67557.9,67688.1,178.55372602
1717228800000,67706.3,2024-06-01 08:00:00,67743.4,67599.8,67620.5,84.70547576
1717232400000,67708.1,2024-06-01 09:00:00,67754.5,67637.3,67706.2,56.76237404
1717236000000,67630.5,2024-06-01 10:00:00,67750.0,67625.0,67708.2,55.32940349
1717239600000,67661.6,2024-06-01 11:00:00,67702.8,67631.9,67631.9,30.14343937
1717243200000,67717.5,2024-06-01 12:00:00,67872.0,67644.2,67661.6,89.66340073
1717246800000,67700.0,2024-06-01 13:00:00,67839.7,67699.9,67717.5,138.37908831
1717250400000,67802.5,2024-06-01 14:00:00,67860.7,67669.1,67700.0,127.35180903
1717254000000,67683.9,2024-06-01 15:00:00,67817.4,67665.5,67802.5,88.83887027
1717257600000,67691.8,2024-06-01 16:00:00,67724.0,67608.2,67684.0,41.81478701
1717261200000,67788.1,2024-06-01 17:00:00,67851.9,67548.0,67691.9,216.02996422
1717264800000,67755.0,2024-06-01 18:00:00,67826.9,67728.7,67788.1,164.75785462
1717268400000,67754.7,2024-06-01 19:00:00,67787.7,67680.0,67755.0,42.37603983
1717272000000,67797.7,2024-06-01 20:00:00,67797.7,67711.0,67754.6,20.50316807
1717275600000,67756.9,2024-06-01 21:00:00,67822.1,67712.6,67797.7,44.74583223
1717279200000,67764.2,2024-06-01 22:00:00,67890.0,67715.0,67756.9,88.42441512
1717282800000,67757.8,2024-06-01 23:00:00,67822.7,67720.0,67764.2,51.78194664
1717286400000,67882.4,2024-06-02 00:00:00,67913.6,67734.5,67757.8,57.07666375
1717290000000,67754.6,2024-06-02 01:00:00,67895.9,67708.4,67882.4,121.62145312
1717293600000,67728.5,2024-06-02 02:00:00,67815.4,67637.9,67754.7,55.75240323
1717297200000,67788.0,2024-06-02 03:00:00,67811.3,67721.7,67728.5,34.26994504
1717300800000,67848.6,2024-06-02 04:00:00,67848.6,67738.6,67788.1,101.65311774
1717304400000,67722.0,2024-06-02 05:00:00,67866.7,67721.9,67849.1,39.41849236
1717308000000,67833.1,2024-06-02 06:00:00,67840.0,67717.4,67721.9,33.51473891
1717311600000,67720.0,2024-06-02 07:00:00,67839.0,67720.0,67833.1,61.37379233
1717315200000,67752.1,2024-06-02 08:00:00,67809.9,67671.0,67720.0,92.89924612
1717318800000,67535.8,2024-06-02 09:00:00,67770.5,67404.4,67752.1,124.57723598
